Date,Station,Daily_MAX_AQI,Daily_MEDIAN_AQI
01-01-2018,Sirifort,500,500
02-01-2018,Sirifort,500,497
03-01-2018,Sirifort,500,370
04-01-2018,Sirifort,500,416
05-01-2018,Sirifort,500,408
06-01-2018,Sirifort,500,400
07-01-2018,Sirifort,500,397
08-01-2018,Sirifort,425,306
09-01-2018,Sirifort,443,404
10-01-2018,Sirifort,451,406.5
11-01-2018,Sirifort,359,292
12-01-2018,Sirifort,500,357
13-01-2018,Sirifort,451,381
14-01-2018,Sirifort,497,340
15-01-2018,Sirifort,474,402
16-01-2018,Sirifort,500,336
17-01-2018,Sirifort,485,411.5
18-01-2018,Sirifort,479,442
19-01-2018,Sirifort,500,477
20-01-2018,Sirifort,0,#NUM!
21-01-2018,Sirifort,0,#NUM!
22-01-2018,Sirifort,421,334
23-01-2018,Sirifort,438,347
24-01-2018,Sirifort,378,332.5
25-01-2018,Sirifort,363,267
26-01-2018,Sirifort,375,356
27-01-2018,Sirifort,0,#NUM!
28-01-2018,Sirifort,0,#NUM!
29-01-2018,Sirifort,352,283
30-01-2018,Sirifort,391,308
31-01-2018,Sirifort,500,327
01-02-2018,Sirifort,384,278
02-02-2018,Sirifort,426,310.5
03-02-2018,Sirifort,376,228.5
04-02-2018,Sirifort,402,303
05-02-2018,Sirifort,436,311.5
06-02-2018,Sirifort,389,317
07-02-2018,Sirifort,375,310.5
08-02-2018,Sirifort,407,340.5
09-02-2018,Sirifort,428,395.5
10-02-2018,Sirifort,0,#NUM!
11-02-2018,Sirifort,0,#NUM!
12-02-2018,Sirifort,138,90
13-02-2018,Sirifort,310,155.5
14-02-2018,Sirifort,0,#NUM!
15-02-2018,Sirifort,0,#NUM!
16-02-2018,Sirifort,0,#NUM!
17-02-2018,Sirifort,0,#NUM!
18-02-2018,Sirifort,0,#NUM!
19-02-2018,Sirifort,0,#NUM!
20-02-2018,Sirifort,0,#NUM!
21-02-2018,Sirifort,312,226
22-02-2018,Sirifort,160,160
23-02-2018,Sirifort,0,#NUM!
24-02-2018,Sirifort,0,#NUM!
25-02-2018,Sirifort,0,#NUM!
26-02-2018,Sirifort,0,#NUM!
27-02-2018,Sirifort,0,#NUM!
28-02-2018,Sirifort,442,180
01-03-2018,Sirifort,407,236.5
02-03-2018,Sirifort,350,296.5
03-03-2018,Sirifort,363,218.5
04-03-2018,Sirifort,309,95.5
05-03-2018,Sirifort,341,150
06-03-2018,Sirifort,320,126.5
07-03-2018,Sirifort,383,166.5
08-03-2018,Sirifort,324,226.5
09-03-2018,Sirifort,377,264
10-03-2018,Sirifort,312,110.5
11-03-2018,Sirifort,364,133
12-03-2018,Sirifort,358,244.5
13-03-2018,Sirifort,365,244
